seed,result,time (seconds)
532,solved,56.961
533,unsolvable,32.791
534,solved,48.425
535,solved,59.395
536,unsolvable,17.629
537,solved,22.702
538,solved,37.679
539,solved,53.281
540,unsolvable,18.779
541,solved,101.345
542,solved,31.321
543,solved,39.441
544,solved,35.963
545,solved,45.966
546,solved,45.434
547,solved,78.712
548,solved,37.5
549,solved,58.527
550,solved,62.523
551,unsolvable,19.155
552,solved,56.976
553,unsolvable,16.018
554,solved,42.626
555,solved,56.152
556,solved,33.688
557,solved,77.832
558,unsolvable,5.707
559,solved,58.297
560,solved,23.751
561,solved,33.872
562,solved,36.944
563,solved,66.794
564,solved,52.694
565,solved,43.285
566,solved,55.526
567,solved,32.607
568,solved,44.386
569,unsolvable,57.522
570,solved,33.024
571,solved,31.324
572,unsolvable,15.429
573,solved,35.561
574,solved,38.261
575,solved,43.098
576,solved,69.94
577,solved,46.796
578,solved,25.216
579,solved,25.983
580,solved,35.262
581,solved,61.315
582,solved,39.229
583,unsolvable,19.774
584,solved,43.9
585,solved,30.183
586,unsolvable,24.431
587,unsolvable,35.131
588,solved,65.454
589,solved,32.466
590,solved,64.614
591,unsolvable,15.501
592,solved,57.274
593,solved,31.027
594,solved,34.095
595,solved,78.794
596,solved,46.737
597,solved,51.392
598,unsolvable,14.77
599,solved,51.043
600,solved,32.761
601,solved,58.619
602,unsolvable,25.899
603,solved,73.012
604,solved,26.636
605,solved,110.551
606,solved,90.602
607,solved,46.411
608,solved,27.827
609,unsolvable,15.446
610,unsolvable,5.243
611,unsolvable,38.971
612,unsolvable,38.517
613,solved,66.927
614,solved,60.428
615,unsolvable,6.864
616,solved,27.44
617,solved,30.853
618,solved,29.372
619,unsolvable,5.651
620,solved,37.211
621,solved,38.348
622,solved,81.154
623,solved,37.262
624,solved,39.998
625,unsolvable,30.281
626,unsolvable,58.903
627,unsolvable,20.855
628,solved,46.061
629,solved,56.029
630,solved,28.52
631,solved,39.377
632,unsolvable,6.5
633,unsolvable,27.118
634,solved,41.087
635,solved,47.484
636,solved,65.47
637,solved,45.13
638,solved,36.108
639,solved,45.783
640,solved,43.4
641,solved,45.719
642,solved,37.881
643,solved,63.039
644,solved,45.116
645,solved,36.926
646,solved,49.484
647,solved,39.757
648,solved,29.858
649,solved,51.572
650,solved,37.813
651,solved,32.326
652,solved,30.974
653,solved,53.732
654,solved,60.344
655,solved,31.377
656,solved,57.863
657,solved,32.314
658,solved,52.031
659,solved,64.109
660,solved,73.482
661,solved,36.545
662,solved,45.249
663,solved,42.509
664,solved,28.324
665,solved,52.43
666,solved,56.835
667,solved,35.34
668,unsolvable,10.491
669,solved,41.834
670,solved,41.19
671,solved,60.715
672,solved,27.43
673,solved,37.885
674,solved,33.597
