seed,result,time (seconds)
502,solved,0
503,solved,1.349
504,unsolvable,0
505,solved,0
506,solved,0.017
507,solved,0
508,unsolvable,0.043
509,solved,0.579
510,solved,0
511,solved,0
512,solved,0.011
513,solved,0
514,solved,0
515,solved,0.049
516,solved,0.011
517,solved,0
518,solved,0.027
519,solved,0
520,unsolvable,0.002
521,solved,7.212
522,solved,0.011
523,unknown,3600
524,solved,0.002
525,solved,2.545
526,solved,0
527,unsolvable,0.169
528,unsolvable,3.172
529,solved,0
530,solved,0
531,solved,0.001
532,solved,0.008
533,unsolvable,0.832
534,solved,0
535,solved,0.109
536,unsolvable,6.645
537,solved,0
538,solved,0.658
539,solved,0.003
540,unsolvable,0.084
541,solved,0.001
542,solved,0
543,solved,0.012
544,solved,0
545,unknown,3600
546,solved,0.001
547,solved,0.005
548,solved,0.008
549,solved,0
550,solved,0.379
551,unsolvable,0
552,solved,0
553,unsolvable,0.355
554,solved,0.003
555,solved,0
556,solved,0
557,solved,0.016
558,unknown,3600
559,solved,1.58
560,solved,0
561,solved,0.027
562,solved,0
563,solved,0
564,solved,0
565,solved,0.001
566,solved,0
567,solved,0.002
568,solved,0
569,unsolvable,0
570,solved,0
571,solved,0
572,unsolvable,6.488
573,solved,0
574,solved,0
575,solved,0
576,solved,0
577,solved,0
578,solved,0.005
579,solved,0
580,solved,0
581,solved,0.002
582,solved,0
583,unsolvable,6.113
584,solved,0.002
585,solved,0
586,unsolvable,0
587,unsolvable,0.008
588,solved,1.198
589,solved,0
590,solved,0
591,unsolvable,1.244
592,solved,0.001
593,solved,0.18
594,solved,0
595,solved,0
596,solved,0
597,solved,0
598,unknown,3600
599,solved,0
600,solved,0
601,solved,0
602,unsolvable,2.061
603,solved,0.352
604,solved,0
605,solved,0.061
606,solved,0.087
607,solved,0
608,solved,0
609,unsolvable,0.278
610,unknown,3600
611,unsolvable,0
612,unsolvable,0.571
613,solved,0.027
614,solved,0.266
615,unsolvable,0
616,solved,0
617,solved,0.001
618,solved,0
619,unknown,3600
620,solved,0
621,solved,0
622,solved,0.02
623,solved,0.045
624,solved,0
625,unsolvable,0
626,unsolvable,0
627,unknown,3600
628,solved,0
629,solved,0
630,solved,0
631,solved,0.152
632,unsolvable,0.366
633,unsolvable,0.073
634,solved,0.004
635,solved,0
636,solved,1.613
637,solved,0
638,solved,0
639,solved,0
640,solved,0
641,solved,0
642,solved,0.188
643,solved,0.082
644,solved,0
645,solved,0.001
646,solved,0.005
647,solved,0.48
648,solved,0.001
649,solved,1.393
650,solved,0
651,solved,0.001
652,solved,0
653,solved,0.002
654,solved,0
655,solved,0
656,solved,1.685
657,solved,0
658,solved,0.001
659,solved,0
660,solved,0.089
661,solved,0
662,solved,0.068
663,solved,0
664,solved,0
665,solved,0.002
666,solved,0.096
667,solved,0.002
668,unsolvable,0.882
669,unknown,3600
670,solved,0.007
671,solved,0.001
672,solved,0.002
673,solved,0.001
674,solved,0
675,solved,0
676,solved,2.868
677,unsolvable,0.098
678,solved,0.002
679,unknown,3600
680,solved,0
681,solved,0.116
682,unsolvable,0.182
683,unsolvable,0.198
684,solved,0.008
685,solved,0
686,solved,0.001
687,solved,0
688,solved,0
689,solved,0.006
690,solved,0.008
691,unsolvable,0.401
692,solved,0
693,unknown,3600
694,unsolvable,2.436
695,solved,0.004
696,solved,0.01
697,solved,0.001
698,unsolvable,0.437
699,solved,0.109
700,solved,0
701,unknown,3600
702,solved,0.579
703,solved,0.002
704,solved,0.005
705,solved,0.001
706,solved,0.927
707,solved,0.003
708,solved,0
709,solved,1.949
710,solved,0
711,solved,0
712,solved,0.002
713,solved,0.001
714,unknown,3600
715,unknown,3600
716,solved,0.006
717,unsolvable,0.114
718,solved,0.305
719,unknown,3600
720,solved,0
721,solved,0
722,unknown,3600
723,unsolvable,0
724,solved,0.044
725,solved,0.071
726,solved,0
727,solved,0.237
728,solved,0.066
729,unsolvable,0.027
730,solved,0.214
731,solved,0
732,solved,0
733,solved,0
734,solved,0.004
735,solved,0
736,unsolvable,0
737,solved,0.282
738,solved,0.001
739,solved,0
740,solved,0
741,solved,0
742,solved,0.013
743,solved,0
744,solved,0
745,solved,0.602
746,solved,0.015
747,solved,0
748,solved,0
749,solved,0
750,unsolvable,0.366
751,unknown,3600
752,solved,5.858
753,solved,0.294
754,solved,0.135
755,solved,0.001
756,solved,0.008
757,solved,0
758,solved,0.397
759,solved,0
760,solved,0
761,solved,0
762,solved,26.732
763,solved,0.005
764,solved,0
765,unknown,3600
766,solved,0.002
767,solved,0.861
768,solved,0
769,solved,0.001
770,unsolvable,11.781
771,unknown,3600
772,solved,3.03
773,solved,0
774,solved,0
775,solved,0
776,solved,0
777,solved,0
778,unsolvable,0.003
779,solved,0.043
780,solved,0
781,solved,0.014
782,solved,0.004
783,solved,0
784,solved,0.007
785,solved,0.004
786,solved,0
787,solved,0.001
788,solved,0.001
789,solved,0
790,solved,0.001
791,solved,0.05
792,solved,0.103
793,solved,0
794,solved,0
795,solved,0
796,solved,0
797,solved,0.005
798,solved,0
799,solved,0.031
800,solved,0
801,unsolvable,0
802,solved,0
803,solved,0.01
804,solved,0
805,solved,0
806,solved,0
807,solved,1.324
808,solved,0
809,unsolvable,0.021
810,solved,2.389
811,solved,0.048
812,solved,0
813,solved,0.111
814,solved,0
815,solved,0
816,solved,0.019
817,solved,0
818,unknown,3600
819,solved,0
820,solved,0
821,solved,0
822,unsolvable,0.089
823,solved,0
824,solved,0
825,solved,0.001
826,solved,0
827,solved,0.026
828,solved,0.001
829,solved,557.785
830,solved,0
831,solved,0.019
832,solved,5.031
833,solved,0
834,unsolvable,0.066
835,solved,0.001
836,unknown,3600.012
837,unsolvable,0.144
838,solved,0.037
839,unsolvable,1.639
840,solved,0
841,solved,0.012
842,solved,26.679
843,solved,0
844,solved,0.02
845,unsolvable,139.902
846,solved,0.002
847,solved,0.028
848,solved,0
849,unsolvable,0.372
850,solved,0
851,solved,0.001
852,solved,0.003
853,solved,0.52
854,unsolvable,86.748
855,solved,0
856,solved,0
857,solved,0
858,unsolvable,0.177
859,unsolvable,3436.141
860,solved,0
861,solved,0
862,unsolvable,0.057
863,solved,0
864,solved,0
865,solved,0
866,unsolvable,0.002
867,solved,0
868,unsolvable,1.296
869,solved,0
870,solved,0.004
871,solved,0
872,solved,0.034
873,solved,0.181
874,solved,0.216
875,solved,0.002
876,solved,0.006
877,solved,6.82
878,solved,0
879,unsolvable,0.006
880,solved,0
881,solved,0
882,solved,0.007
883,unsolvable,0.151
884,unsolvable,2.611
885,solved,0.082
886,solved,0.001
887,solved,0.047
888,solved,0
889,unsolvable,813.472
890,solved,0.529
891,unsolvable,0.94
892,solved,0.004
893,unsolvable,4.275
894,solved,0
895,unsolvable,8.029
896,solved,0.165
897,solved,0
898,unknown,3600
899,solved,0
900,solved,0
901,solved,0
902,solved,0
903,solved,0.011
904,solved,0
905,solved,0.011
906,solved,0.314
907,solved,0
908,solved,0.005
909,solved,3.967
910,solved,0
911,solved,0
912,solved,0
913,solved,0
914,solved,0.108
915,solved,0
916,solved,0
917,solved,0
918,solved,0
919,solved,9.65
920,unsolvable,0.179
921,solved,0
922,unsolvable,10.53
923,solved,0.096
924,solved,4.698
925,unsolvable,1.514
926,solved,0
927,unsolvable,0.097
928,unsolvable,0
929,solved,0.43
930,solved,0.061
931,solved,0.004
932,solved,0
933,solved,0.006
934,solved,0
935,solved,0.002
936,solved,0
937,solved,0.04
938,solved,0
939,solved,0.002
940,solved,0.013
941,unsolvable,0.12
942,solved,0.006
943,solved,0.002
944,solved,0.014
945,solved,0
946,solved,0.002
947,solved,0.02
948,solved,0.001
949,solved,0
950,solved,1074.94
951,solved,452.137
952,unsolvable,0.007
953,solved,0
954,solved,0.095
955,solved,0.001
956,solved,0
957,solved,0.002
958,unsolvable,0.998
959,solved,0
960,solved,0
961,unsolvable,931.253
962,solved,0
963,solved,0.073
964,solved,0
965,solved,0
966,solved,0
967,unsolvable,0.416
968,solved,0.025
969,solved,0
970,solved,0.422
971,solved,2.937
972,solved,0
973,solved,0.002
974,solved,0.002
975,solved,0
976,unsolvable,10.317
