Seed,result,time (seconds)
425,solved,77.415
426,solved,72.37433333
427,solved,73.00166667
428,solved,99.85
429,solved,60.07366667
430,solved,122.3033333
431,unsolvable,43.52266667
432,solved,109.4466667
433,solved,95.15066667
434,solved,53.636
435,solved,51.89733333
436,solved,111.679
437,unsolvable,104.614
438,solved,64.544
439,solved,83.799
440,solved,63.56266667
441,solved,145.5646667
442,solved,57.873
443,solved,66.75833333
444,solved,31.11433333
445,solved,61.47833333
446,solved,103.46
447,solved,124.3683333
448,solved,182.373
449,solved,122.5386667
450,solved,207.232
451,solved,52.40666667
452,unsolvable,35.68333333
453,solved,65.28133333
454,solved,94.25133333
455,solved,101.607
456,solved,55.66666667
457,solved,142.103
458,solved,83.17533333
459,solved,72.078
460,solved,91.91766667
461,solved,162.1466667
462,unsolvable,27.71366667
463,solved,126.4383333
464,unsolvable,47.824
465,solved,52.757
466,solved,188.421
467,solved,121.0243333
468,solved,80.88066667
469,solved,118.499
470,solved,83.87933333
471,solved,166.289
472,solved,71.20633333
473,solved,85.998
474,solved,83.491
475,solved,50.58366667
476,unsolvable,577.2676667
477,unsolvable,83.29266667
478,solved,66.052
479,unsolvable,37.66666667
480,solved,41.787
481,solved,99.66266667
482,solved,102.096
483,solved,137.348
484,solved,122.1356667
485,solved,60.143
486,solved,98.406
487,solved,54.18
488,solved,139.373
489,solved,102.8716667
490,solved,75.61333333
491,solved,100.6956667
492,solved,54.455
493,solved,130.8716667
494,solved,77.27466667
495,solved,96.31233333
496,solved,80.05933333
497,solved,97.00066667
498,solved,117.8373333
499,solved,70.49
500,solved,44.75933333
501,solved,109.1166667
502,solved,69.094
503,solved,92.732
504,unsolvable,45.347
505,solved,90.75366667
506,solved,191.629
507,solved,60.01233333
508,unsolvable,43.03166667
509,solved,91.86533333
510,solved,76.05466667
511,solved,99.749
512,solved,91.07633333
513,solved,53.48933333
514,solved,121.6936667
515,solved,70.94633333
516,solved,75.50733333
517,solved,59.00566667
518,solved,47.785
519,solved,68.23966667
520,unsolvable,45.09133333
521,solved,124.8836667
522,solved,77.38233333
523,unsolvable,53.23133333
524,solved,78.387
525,solved,239.1296667
526,solved,41.434
527,unsolvable,47.19633333
528,unsolvable,6.994333333
529,solved,90.63433333
530,solved,85.10133333
531,solved,127.8983333
532,solved,88.57533333
533,unsolvable,53.934
534,solved,57.91366667
535,solved,232.662
536,unsolvable,26.29066667
537,solved,80.30933333
538,solved,57.56866667
